user	likes	positive	negative	total	classification	positive_comments	negative_comments	total_comments
2657	4	0	0	2	NEUTRAL	0	0	0
2657	30	1	0	2	POSITIVE	3	0	5
2669	0	1	0	5	POSITIVE	0	0	0
2693	100	0	0	14	NEUTRAL	2	0	2
2729	41	0	0	5	NEUTRAL	2	0	3
2742	14	0	0	11	NEUTRAL	0	0	0
2748	0	0	0	1	NEUTRAL	0	0	0
2748	0	0	0	1	NEUTRAL	0	0	1
2748	0	0	0	1	NEUTRAL	0	0	0
2748	0	0	0	1	NEUTRAL	1	0	1
2748	0	0	0	1	NEUTRAL	0	0	0
2748	0	0	0	1	NEUTRAL	0	0	0
2751	50	1	2	25	NEGATIVE	0	0	2
2786	2	1	0	3	POSITIVE	0	0	1
2786	2	0	0	3	NEUTRAL	1	0	1
2786	2	1	0	3	POSITIVE	0	1	2
2786	3	0	1	6	NEGATIVE	0	0	1
2786	1	0	0	2	NEUTRAL	0	0	1
2786	2	0	0	3	NEUTRAL	1	0	2
2786	1	0	0	8	NEUTRAL	0	0	1
2786	2	0	0	1	NEUTRAL	0	0	1
2786	3	0	0	2	NEUTRAL	1	0	1
2786	1	1	0	5	POSITIVE	0	0	0
2789	6	2	0	70	POSITIVE	0	0	0
2795	121	2	0	17	POSITIVE	1	0	20
2795	47	0	0	1	NEUTRAL	2	0	5
2795	16	0	0	1	NEUTRAL	0	0	0
2795	55	3	0	29	POSITIVE	1	0	4
2804	17	2	0	22	POSITIVE	0	0	0
2804	0	0	0	2	NEUTRAL	0	0	0
2804	0	0	0	8	NEUTRAL	0	0	1
2810	4	0	0	7	NEUTRAL	0	0	0
2810	12	1	0	3	POSITIVE	0	0	1
2810	3	0	0	9	NEUTRAL	1	0	1
2810	0	0	0	8	NEUTRAL	0	0	0
2810	0	0	0	6	NEUTRAL	0	0	0
2810	1	0	0	2	NEUTRAL	0	0	1
2810	0	0	0	2	NEUTRAL	0	0	0
2818	12	0	0	4	NEUTRAL	2	0	4
2835	44	1	0	6	POSITIVE	3	2	9
2835	0	1	0	21	POSITIVE	3	2	6
2835	7	1	0	20	POSITIVE	0	0	2
2835	1	0	0	5	NEUTRAL	5	7	20
2835	22	0	0	10	NEUTRAL	0	0	1
2857	67	0	0	2	NEUTRAL	4	0	8
2887	0	1	0	3	POSITIVE	0	0	0
2887	0	0	0	34	NEUTRAL	0	0	0
2887	0	0	0	10	NEUTRAL	0	0	0
2892	23	1	0	6	POSITIVE	1	0	2
2892	2	0	0	3	NEUTRAL	0	0	0
2899	8	0	0	10	NEUTRAL	0	0	0
2903	165	0	0	7	NEUTRAL	8	0	17
2904	4	0	0	9	NEUTRAL	1	0	1
2904	18	0	0	5	NEUTRAL	3	3	12
2904	6	0	0	9	NEUTRAL	0	0	0
2904	6	0	0	14	NEUTRAL	0	0	0
2904	33	0	0	2	NEUTRAL	7	0	17
2904	3	0	0	20	NEUTRAL	0	1	2
2948	0	0	0	1	NEUTRAL	0	0	0
3003	60	1	0	11	POSITIVE	2	0	7
3003	291	3	0	56	POSITIVE	1	1	3
3061	47	4	3	138	POSITIVE	7	0	18
3061	17	1	0	8	POSITIVE	2	2	13
3071	52	0	0	5	NEUTRAL	1	0	13
3071	20	5	2	120	POSITIVE	5	0	7
3071	17	3	1	37	POSITIVE	1	3	15
3071	9	0	0	9	NEUTRAL	5	1	15
3071	9	0	1	17	NEGATIVE	2	0	3
3071	8	0	0	9	NEUTRAL	1	0	1
3078	0	0	0	2	NEUTRAL	0	0	0
3078	0	0	0	5	NEUTRAL	0	1	1
3078	0	0	0	7	NEUTRAL	0	0	0
3116	46	0	0	12	NEUTRAL	6	1	19
3116	21	1	1	30	NEUTRAL	0	0	1
3116	50	2	0	10	POSITIVE	2	0	7
3123	54	0	0	8	NEUTRAL	3	0	3
3123	11	0	0	2	NEUTRAL	1	0	1
3147	13	0	2	42	NEGATIVE	3	0	7
3200	0	0	0	4	NEUTRAL	0	0	0
3200	22	0	0	4	NEUTRAL	0	1	2
3205	8	0	1	13	NEGATIVE	2	0	5
3205	3	0	0	3	NEUTRAL	1	1	3
3295	4	0	0	4	NEUTRAL	2	0	2
3295	1	0	0	2	NEUTRAL	0	0	0
3295	38	1	0	5	POSITIVE	4	1	10
3314	21	0	0	4	NEUTRAL	1	0	1
3314	84	1	0	16	POSITIVE	7	0	15
3314	102	0	1	11	NEGATIVE	14	0	30
